;Все USDT;Все %;Длинная позиция USDT;Длинная позиция %;Короткая позиция USDT;Короткая позиция %
Исходный капитал;10000;;;;;
Нереализовання ПР/УБ;0;0.00;;;;
Чистая прибыль;1001.98;10.02;182.92;1.83;819.07;8.19
Валовая прибыль;3003.6;30.04;582.74;5.83;2420.86;24.21
Валовый убыток;2001.62;20.02;399.82;4.00;1601.79;16.02
Ожидаемая прибыль;6.51;;6.1;;6.61;
Выплаченная комиссия;215.03;;42.15;;172.88;
Прибыль от покупки и удержания;-4233.65;-42.34;;;;
Прибыль в % при покупке и удержании;;-42.34;;;;
Опережающая динамика стратегии;5235.63;;;;;
Макс. кол-во контрактов в позиции;1;;1;;1;
Годовая доходность (СГТР);;8.59;;1.58;;7.03
Доходность на исходный капитал;;10.02;;1.83;;8.19
Необходимый размер счёта;1801.96;;;;;
Требуемая доходность от размера счёта;;55.61;;10.15;;45.45
Сред. использованная маржа;762.61;;;;;
Максимальная использованная маржа;1131.51;;;;;
Эффективность использования маржи;0.76;;4.17;;0.93;
Сред. продолжительность роста капитала (от закрытия до закрытия);48 дней;;;;;
Сред. рост капитала (от закрытия до закрытия);396.1;3.96;;;;
Макс. рост капитала (от закрытия до закрытия);856.8;8.57;;;;
Макс. рост капитала (внутри бара);1095.29;9.87;;;;
Макс. рост капитала в % от начального (внутри бара);;10.95;;;;
Сред. продолжительность просадки капитала (от закрытия до закрытия);169 дней;;;;;
Сред. просадка капитала (от закрытия до закрытия);599.84;6.00;;;;
Доходность на макс. просадку капитала;1.49;;0.27;;1.22;
Макс. просадка капитала (от закрытия до закрытия);599.84;6.00;;;;
Макс. просадка капитала (внутри бара);670.46;6.19;;;;
Макс. просадка капитала в % от начального (внутри бара);;6.70;;;;
Чистая прибыль в % от наибольшего убытка;;750.59;;137.23;;613.56
Самая крупная прибыльная сделка в % от валовой прибыли;;0.72;;3.70;;0.89
Самая крупная убыточная сделка в % от валового убытка;;6.67;;33.34;;8.33
