TV trades loaded: 43
Running our backtest...
Our trades: 43

==============================================================================================================
#   | Dir   | TV entry         ep       | Our entry        ep       | TV exit          xp       | Our exit         xp       | TV PnL   Our PnL  | Exit | Notes
==============================================================================================================
 32 | long  | 2025-11-22 02:00  2719.98 | 2025-11-21 23:00  2719.98 | 2025-11-24 20:00  2899.50 | 2025-11-24 17:00  2899.50 |    64.55    64.54 | TP  /?    | OK
 33 | long  | 2025-11-30 08:30  2984.36 | 2025-11-30 05:30  2984.36 | 2025-12-04 01:30  3181.33 | 2025-12-03 22:30  3181.33 |    64.54    64.54 | TP  /?    | OK
 34 | short | 2025-12-04 19:30  3208.39 | 2025-12-04 16:30  3208.39 | 2025-12-05 22:00  2996.63 | 2025-12-05 19:00  2996.64 |    64.63    64.63 | TP  /?    | OK
 35 | short | 2025-12-07 04:30  3046.00 | 2025-12-07 01:30  3046.00 | 2025-12-17 19:00  2844.96 | 2025-12-17 16:00  2844.96 |    64.63    64.63 | TP  /?    | OK
 36 | long  | 2025-12-17 19:30  2846.63 | 2025-12-17 16:30  2846.63 | 2025-12-22 03:00  3034.51 | 2025-12-22 00:00  3034.51 |    64.54    64.55 | TP  /?    | OK
 37 | long  | 2025-12-26 18:00  2916.05 | 2025-12-26 15:00  2916.05 | 2026-01-02 17:30  3108.51 | 2026-01-02 14:30  3108.51 |    64.55    64.55 | TP  /?    | OK
 38 | short | 2026-01-05 19:00  3194.54 | 2026-01-05 16:00  3194.54 | 2026-01-20 20:30  2983.70 | 2026-01-20 17:30  2983.70 |    64.64    64.64 | TP  /?    | OK
 39 | long  | 2026-01-21 20:00  2889.76 | 2026-01-21 17:00  2889.76 | 2026-01-31 17:00  2508.31 | 2026-01-31 14:00  2508.31 |  -133.29  -133.29 | SL  /?    | OK
 40 | short | 2026-02-08 23:00  2125.71 | 2026-02-08 20:00  2125.71 | 2026-02-10 17:30  1985.41 | 2026-02-10 14:30  1985.41 |    64.64    64.64 | TP  /?    | OK
 41 | long  | 2026-02-13 09:30  1929.90 | 2026-02-13 06:30  1929.90 | 2026-02-13 19:00  2057.28 | 2026-02-13 16:00  2057.27 |    64.55    64.55 | TP  /?    | OK
 42 | short | 2026-02-16 21:30  1978.31 | 2026-02-16 18:30  1978.31 | 2026-02-23 04:30  1847.74 | 2026-02-23 01:30  1847.74 |    64.64    64.64 | TP  /?    | OK
 43 | long  | 2026-03-04 01:00  1967.37 | 2026-03-03 22:00  1967.37 | 2026-03-04 17:30  2097.22 | 2026-03-04 14:30  2097.22 |    64.54    64.54 | TP  /?    | OK

==============================================================================================================
SUMMARY: 43 exact match | 0 price/pnl differences
