time,open,high,low,close
2026-02-21T18:00:00+03:00,1986.89,1991.6,1985.31,1985.31
2026-02-21T18:30:00+03:00,1985.31,1992.72,1983.57,1987.3
2026-02-21T19:00:00+03:00,1987.3,1988.94,1975.39,1983.57
2026-02-21T19:30:00+03:00,1983.57,1989.34,1980.4,1985.94
2026-02-21T20:00:00+03:00,1985.94,1988.38,1983.76,1985.47
2026-02-21T20:30:00+03:00,1985.47,1991.97,1984.65,1988.26
2026-02-21T21:00:00+03:00,1988.26,1990.63,1986.9,1989.71
2026-02-21T21:30:00+03:00,1989.71,1995,1989.27,1991.53
2026-02-21T22:00:00+03:00,1991.53,1993.88,1989.35,1990.84
2026-02-21T22:30:00+03:00,1990.84,1991.15,1986.95,1987.89
2026-02-21T23:00:00+03:00,1987.89,1990.34,1986.2,1988.76
2026-02-21T23:30:00+03:00,1988.76,1989.78,1972.15,1973.21
2026-02-22T00:00:00+03:00,1973.21,1980.43,1966.18,1977.7
2026-02-22T00:30:00+03:00,1977.7,1982.44,1975.84,1981.4
2026-02-22T01:00:00+03:00,1981.4,1981.79,1973.82,1975.47
2026-02-22T01:30:00+03:00,1975.47,1977.6,1970.66,1973.43
2026-02-22T02:00:00+03:00,1973.43,1976.82,1970,1975.77
2026-02-22T02:30:00+03:00,1975.77,1976,1972.02,1972.41
2026-02-22T03:00:00+03:00,1972.41,1974.39,1966.35,1969.14
2026-02-22T03:30:00+03:00,1969.14,1972,1967.63,1971.99
2026-02-22T04:00:00+03:00,1971.99,1977.25,1971.37,1976.7
2026-02-22T04:30:00+03:00,1976.7,1979,1974.99,1976.41
2026-02-22T05:00:00+03:00,1976.41,1982.99,1974.1,1974.11
2026-02-22T05:30:00+03:00,1974.11,1975.3,1970.75,1971.3
2026-02-22T06:00:00+03:00,1971.3,1975.27,1964.9,1969.75
2026-02-22T06:30:00+03:00,1969.75,1974.31,1968.94,1973.56
2026-02-22T07:00:00+03:00,1973.56,1975,1970.24,1971.12
2026-02-22T07:30:00+03:00,1971.12,1973.97,1969.89,1972.66
2026-02-22T08:00:00+03:00,1972.66,1974.9,1969.91,1972.77
2026-02-22T08:30:00+03:00,1972.77,1974.24,1970.36,1974.01
2026-02-22T09:00:00+03:00,1974.01,1977.2,1973.1,1976
2026-02-22T09:30:00+03:00,1976,1978.66,1973.82,1975.21
2026-02-22T10:00:00+03:00,1975.21,1976.73,1973.5,1975.3
2026-02-22T10:30:00+03:00,1975.3,1977.76,1974.75,1975.11
2026-02-22T11:00:00+03:00,1975.11,1976.24,1969.9,1972.24
2026-02-22T11:30:00+03:00,1972.24,1973.49,1969.24,1972.46
2026-02-22T12:00:00+03:00,1972.46,1973.69,1970.62,1972.51
2026-02-22T12:30:00+03:00,1972.51,1975.25,1970.5,1974.52
2026-02-22T13:00:00+03:00,1974.52,1978.57,1973.74,1977.02
2026-02-22T13:30:00+03:00,1977.02,1979.26,1976.05,1976.32
2026-02-22T14:00:00+03:00,1976.32,1982.43,1976.32,1979.35
2026-02-22T14:30:00+03:00,1979.35,1982.21,1978.25,1979.82
2026-02-22T15:00:00+03:00,1979.82,1980.81,1970.11,1973.45
2026-02-22T15:30:00+03:00,1973.45,1973.45,1960.1,1965.2
2026-02-22T16:00:00+03:00,1965.2,1967.91,1962.92,1963.85
2026-02-22T16:30:00+03:00,1963.85,1964.8,1943,1950.1
2026-02-22T17:00:00+03:00,1950.1,1952.34,1942.27,1949
2026-02-22T17:30:00+03:00,1949,1953.42,1944.11,1949.68
2026-02-22T18:00:00+03:00,1949.68,1953.26,1944.3,1952.89
2026-02-22T18:30:00+03:00,1952.89,1957.68,1951.2,1952.87
2026-02-22T19:00:00+03:00,1952.87,1954.69,1946.56,1946.78
2026-02-22T19:30:00+03:00,1946.78,1952.36,1946.52,1951.52
2026-02-22T20:00:00+03:00,1951.52,1952.9,1945,1947.07
2026-02-22T20:30:00+03:00,1947.07,1948.3,1933.47,1939.19
2026-02-22T21:00:00+03:00,1939.19,1943.4,1937.1,1940.01
2026-02-22T21:30:00+03:00,1940.01,1942.79,1937.89,1941.96
2026-02-22T22:00:00+03:00,1941.96,1944.25,1938.9,1940.79
2026-02-22T22:30:00+03:00,1940.79,1945.1,1940,1942.85
2026-02-22T23:00:00+03:00,1942.85,1944.49,1939.65,1943.78
2026-02-22T23:30:00+03:00,1943.78,1944.75,1938.63,1939.85
2026-02-23T00:00:00+03:00,1939.85,1943.05,1939.61,1940.4
2026-02-23T00:30:00+03:00,1940.4,1951.39,1939.96,1949.28
2026-02-23T01:00:00+03:00,1949.28,1955.28,1945.39,1953.84
2026-02-23T01:30:00+03:00,1953.84,1960,1952.6,1957.38
2026-02-23T02:00:00+03:00,1957.38,1960.07,1949.02,1952.38
2026-02-23T02:30:00+03:00,1952.38,1959.34,1947.11,1957.04
2026-02-23T03:00:00+03:00,1957.04,1957.33,1945,1947.25
2026-02-23T03:30:00+03:00,1947.25,1947.37,1927,1928
2026-02-23T04:00:00+03:00,1928,1928,1864.86,1871.95
2026-02-23T04:30:00+03:00,1871.95,1879.95,1845.01,1854.84
2026-02-23T05:00:00+03:00,1854.84,1863.72,1849.02,1863.07
2026-02-23T05:30:00+03:00,1863.07,1867.65,1858.4,1861.71
2026-02-23T06:00:00+03:00,1861.71,1870.59,1853.93,1857.56
2026-02-23T06:30:00+03:00,1857.56,1865,1855.37,1861.29
2026-02-23T07:00:00+03:00,1861.29,1863.53,1857.33,1859.18
2026-02-23T07:30:00+03:00,1859.18,1860.5,1851.61,1858.72
2026-02-23T08:00:00+03:00,1858.72,1869.31,1858.42,1865.69
2026-02-23T08:30:00+03:00,1865.69,1868.9,1861.66,1864.59
2026-02-23T09:00:00+03:00,1864.59,1877.05,1862.67,1871.67
2026-02-23T09:30:00+03:00,1871.67,1882,1870.69,1878.03
2026-02-23T10:00:00+03:00,1878.03,1884.19,1875.33,1878
2026-02-23T10:30:00+03:00,1878,1888.26,1875.53,1884.09
2026-02-23T11:00:00+03:00,1884.09,1889.22,1880.95,1881.85
2026-02-23T11:30:00+03:00,1881.85,1883.58,1875.57,1879.33
2026-02-23T12:00:00+03:00,1879.33,1888.45,1879.33,1887.18
2026-02-23T12:30:00+03:00,1887.18,1918.5,1885.87,1916.93
2026-02-23T13:00:00+03:00,1916.93,1927.4,1914.92,1919.1
2026-02-23T13:30:00+03:00,1919.1,1919.29,1910,1913.13
2026-02-23T14:00:00+03:00,1913.13,1919.76,1911.15,1913.9
2026-02-23T14:30:00+03:00,1913.9,1915.52,1910.29,1914.49
2026-02-23T15:00:00+03:00,1914.49,1915.9,1911.66,1912.48
2026-02-23T15:30:00+03:00,1912.48,1925.96,1903.06,1919.24
2026-02-23T16:00:00+03:00,1919.24,1924.97,1917.22,1920.6
2026-02-23T16:30:00+03:00,1920.6,1934.94,1919.19,1920.88
2026-02-23T17:00:00+03:00,1920.88,1924.59,1913,1915.9
2026-02-23T17:30:00+03:00,1915.9,1919.82,1893.84,1905.81
2026-02-23T18:00:00+03:00,1905.81,1912.51,1897.6,1903.54
2026-02-23T18:30:00+03:00,1903.54,1908.81,1890.7,1894.52
2026-02-23T19:00:00+03:00,1894.52,1896.95,1878.23,1896.56
2026-02-23T19:30:00+03:00,1896.56,1899.55,1881.5,1883.89
