;Все USDT;Все %;Длинная позиция USDT;Длинная позиция %;Короткая позиция USDT;Короткая позиция %
Коэффициент Шарпа;0.344;;;;;
Коэффициент Сортино;0.572;;;;;
Фактор прибыли;1.501;;1.458;;1.511;
Маржин коллы;0;;0;;0;
