,All USDT,All %,Long USDT,Long %,Short USDT,Short %
Open P&L,0.00,0.00,,,,
Net profit,1839.75,18.40,1130.78,11.31,708.97,7.09
Gross profit,3736.98,37.37,2369.86,23.70,1367.11,13.67
Gross loss,1897.23,18.97,1239.08,12.39,658.15,6.58
Commission paid,259.67,,164.99,,94.68,
Buy & hold return,138.16,1.38,,,,
Max equity run-up,2273.92,22.74,,,,
Max equity drawdown,434.17,4.34,,,,
Max contracts held,0,,0,,0,
