;All USDT;All %;Long USDT;Long %;Short USDT;Short %
Open P&L;-4.22;-0.30;;;;
Net profit;424.19;42.42;424.19;42.42;0;0.00
Gross profit;965.45;96.54;965.45;96.54;0;0.00
Gross loss;541.25;54.13;541.25;54.13;0;0.00
Commission paid;48.22;;48.22;;0;
Buy & hold return;4.64;0.46;;;;
Max equity run-up;450.07;31.04;;;;
Max equity drawdown;94.86;6.55;;;;
Max contracts held;18;;18;;0;
