Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
277,Exit long,2025-10-10 23:45,Long Cond SL,40.795,3.803,165.677695,-10.69,-6.45,0,0.00,-11.47,-6.92,398.52,39.85
277,Entry long,2025-10-10 18:15,L_2,43.565,3.803,165.677695,-10.69,-6.45,0,0.00,-11.47,-6.92,398.52,39.85
278,Exit long,2025-10-10 23:45,Long Cond SL,40.795,4.453,188.905166,-7.43,-3.93,4.92,2.60,-8.33,-4.41,391.19,39.12
278,Entry long,2025-10-10 18:30,L_3,42.422,4.453,188.905166,-7.43,-3.93,4.92,2.60,-8.33,-4.41,391.19,39.12
279,Exit long,2025-10-11 05:00,Long Trail,37.565,3.999,145.275672,4.8,3.30,5.1,3.51,-1.21,-0.83,395.98,39.60
279,Entry long,2025-10-11 04:45,buy,36.328,3.999,145.275672,4.8,3.30,5.1,3.51,-1.21,-0.83,395.98,39.60
280,Exit long,2025-10-11 12:00,Long Trail,40.437,3.724,145.239724,5.2,3.58,5.5,3.79,-1.64,-1.13,401.18,40.12
280,Entry long,2025-10-11 10:00,buy,39.001,3.724,145.239724,5.2,3.58,5.5,3.79,-1.64,-1.13,401.18,40.12
281,Exit long,2025-10-12 17:45,Long Trail,39.102,3.742,145.275666,0.9,0.62,1.25,0.86,-13.88,-9.55,401.9,40.19
281,Entry long,2025-10-11 16:30,buy,38.823,3.742,145.275666,0.9,0.62,1.25,0.86,-13.88,-9.55,401.9,40.19
282,Exit long,2025-10-12 17:45,Long Trail,39.102,1.337,51.065378,1.16,2.28,1.27,2.48,-4.12,-8.06,403.09,40.31
282,Entry long,2025-10-11 17:15,L_2,38.194,1.337,51.065378,1.16,2.28,1.27,2.48,-4.12,-8.06,403.09,40.31
283,Exit long,2025-10-12 17:45,Long Trail,39.102,3.001,114.620194,2.61,2.28,2.84,2.48,-9.24,-8.06,405.76,40.58
283,Entry long,2025-10-11 17:15,L_2,38.194,3.001,114.620194,2.61,2.28,2.84,2.48,-9.24,-8.06,405.76,40.58
284,Exit long,2025-10-12 17:45,Long Trail,39.102,0.741,27.560013,1.39,5.03,1.44,5.24,-1.54,-5.58,407.16,40.72
284,Entry long,2025-10-11 22:00,L_3,37.193,0.741,27.560013,1.39,5.03,1.44,5.24,-1.54,-5.58,407.16,40.72
285,Exit long,2025-10-12 17:45,Long Trail,39.102,4.338,161.343234,8.12,5.03,8.46,5.24,-9.01,-5.58,415.36,41.54
285,Entry long,2025-10-11 22:00,L_3,37.193,4.338,161.343234,8.12,5.03,8.46,5.24,-9.01,-5.58,415.36,41.54
286,Exit long,2025-10-12 23:30,Long Trail,40.627,3.685,145.251645,4.31,2.97,4.61,3.17,-1.1,-0.75,419.67,41.97
286,Entry long,2025-10-12 21:45,buy,39.417,3.685,145.251645,4.31,2.97,4.61,3.17,-1.1,-0.75,419.67,41.97
287,Exit long,2025-10-13 09:30,Long Trail,40.939,3.651,145.262337,4.06,2.79,4.36,3.00,-6.01,-4.13,423.64,42.36
287,Entry long,2025-10-13 00:30,buy,39.787,3.651,145.262337,4.06,2.79,4.36,3.00,-6.01,-4.13,423.64,42.36
288,Exit long,2025-10-13 09:30,Long Trail,40.939,4.233,165.688086,7.44,4.49,7.78,4.69,-4.23,-2.55,431.16,43.12
288,Entry long,2025-10-13 06:30,L_2,39.142,4.233,165.688086,7.44,4.49,7.78,4.69,-4.23,-2.55,431.16,43.12
289,Exit long,2025-10-13 22:15,Long Trail,41.715,3.52,145.24224,1.45,1.00,1.74,1.20,-6.48,-4.46,432.43,43.24
289,Entry long,2025-10-13 13:45,buy,41.262,3.52,145.24224,1.45,1.00,1.74,1.20,-6.48,-4.46,432.43,43.24
290,Exit long,2025-10-13 22:15,Long Trail,41.715,1.259,51.106587,1.36,2.66,1.47,2.87,-1.48,-2.89,433.82,43.38
290,Entry long,2025-10-13 14:00,L_2,40.593,1.259,51.106587,1.36,2.66,1.47,2.87,-1.48,-2.89,433.82,43.38
291,Exit long,2025-10-13 22:15,Long Trail,41.715,2.823,114.594039,3.05,2.66,3.29,2.87,-3.31,-2.89,436.93,43.69
291,Entry long,2025-10-13 14:00,L_2,40.593,2.823,114.594039,3.05,2.66,3.29,2.87,-3.31,-2.89,436.93,43.69
292,Exit long,2025-10-13 22:15,Long Trail,41.715,0.697,27.551713,1.5,5.42,1.55,5.64,-0.08,-0.27,438.44,43.84
292,Entry long,2025-10-13 14:15,L_3,39.529,0.697,27.551713,1.5,5.42,1.55,5.64,-0.08,-0.27,438.44,43.84
293,Exit long,2025-10-13 22:15,Long Trail,41.715,4.082,161.357378,8.76,5.42,9.1,5.64,-0.44,-0.27,447.28,44.73
293,Entry long,2025-10-13 14:15,L_3,39.529,4.082,161.357378,8.76,5.42,9.1,5.64,-0.44,-0.27,447.28,44.73
294,Exit long,2025-10-14 13:00,Long Cond SL,38.304,3.427,145.246541,-14.12,-9.71,2.54,1.75,-14.61,-10.05,432.98,43.30
294,Entry long,2025-10-14 03:00,buy,42.383,3.427,145.246541,-14.12,-9.71,2.54,1.75,-14.61,-10.05,432.98,43.30
295,Exit long,2025-10-14 13:00,Long Cond SL,38.304,3.974,165.699904,-13.64,-8.23,1.68,1.01,-14.21,-8.57,419.43,41.94
295,Entry long,2025-10-14 05:00,L_2,41.696,3.974,165.699904,-13.64,-8.23,1.68,1.01,-14.21,-8.57,419.43,41.94
296,Exit long,2025-10-14 13:00,Long Cond SL,38.304,4.652,188.885156,-10.88,-5.76,2.39,1.27,-11.55,-6.11,408.64,40.86
296,Entry long,2025-10-14 07:00,L_3,40.603,4.652,188.885156,-10.88,-5.76,2.39,1.27,-11.55,-6.11,408.64,40.86
297,Exit long,2025-10-14 17:15,Long Trail,39.331,3.811,145.263887,4.48,3.08,4.78,3.29,-3.05,-2.10,413.04,41.30
297,Entry long,2025-10-14 13:30,buy,38.117,3.811,145.263887,4.48,3.08,4.78,3.29,-3.05,-2.10,413.04,41.30
298,Exit long,2025-10-14 17:15,Long Trail,39.331,4.419,165.708081,7.93,4.78,8.27,4.99,-0.8,-0.48,421.05,42.10
298,Entry long,2025-10-14 15:45,L_2,37.499,4.419,165.708081,7.93,4.78,8.27,4.99,-0.8,-0.48,421.05,42.10
299,Exit long,2025-10-15 11:00,Long Trail,40.067,3.733,145.239831,4.18,2.88,4.49,3.09,-1.47,-1.01,425.23,42.52
299,Entry long,2025-10-14 22:45,buy,38.907,3.733,145.239831,4.18,2.88,4.49,3.09,-1.47,-1.01,425.23,42.52
300,Exit long,2025-10-16 03:30,Long Cond SL,37.195,3.606,145.271316,-11.29,-7.76,2.22,1.53,-12.64,-8.69,413.77,41.38
300,Entry long,2025-10-15 13:45,buy,40.286,3.606,145.271316,-11.29,-7.76,2.22,1.53,-12.64,-8.69,413.77,41.38
301,Exit long,2025-10-16 03:30,Long Cond SL,37.195,4.181,165.709754,-10.36,-6.25,2.77,1.67,-11.92,-7.19,403.49,40.35
301,Entry long,2025-10-15 15:30,L_2,39.634,4.181,165.709754,-10.36,-6.25,2.77,1.67,-11.92,-7.19,403.49,40.35
302,Exit long,2025-10-16 03:30,Long Cond SL,37.195,4.894,188.879036,-7.03,-3.72,2.51,1.33,-8.86,-4.69,396.55,39.66
302,Entry long,2025-10-15 18:45,L_3,38.594,4.894,188.879036,-7.03,-3.72,2.51,1.33,-8.86,-4.69,396.55,39.66
303,Exit long,2025-10-16 12:45,Long Trail,38.386,3.901,145.269339,4.33,2.98,4.63,3.18,-1.5,-1.03,400.88,40.09
303,Entry long,2025-10-16 08:00,buy,37.239,3.901,145.269339,4.33,2.98,4.63,3.18,-1.5,-1.03,400.88,40.09
304,Exit long,2025-10-17 09:45,Long Cond SL,35.21,3.778,145.248988,-12.36,-8.51,1.48,1.02,-12.34,-8.49,388.26,38.83
304,Entry long,2025-10-16 17:00,buy,38.446,3.778,145.248988,-12.36,-8.51,1.48,1.02,-12.34,-8.49,388.26,38.83
305,Exit long,2025-10-17 09:45,Long Cond SL,35.21,4.381,165.303892,-11.21,-6.78,4.85,2.93,-11.18,-6.76,377.13,37.71
305,Entry long,2025-10-16 17:00,L_2,37.732,4.381,165.303892,-11.21,-6.78,4.85,2.93,-11.18,-6.76,377.13,37.71
306,Exit long,2025-10-17 09:45,Long Cond SL,35.21,4.381,165.706944,-11.61,-7.00,4.44,2.68,-11.58,-6.98,365.6,36.56
306,Entry long,2025-10-16 17:15,L_2,37.824,4.381,165.706944,-11.61,-7.00,4.44,2.68,-11.58,-6.98,365.6,36.56
307,Exit long,2025-10-17 09:45,Long Cond SL,35.21,5.129,188.911328,-8.5,-4.50,7.43,3.93,-8.46,-4.48,357.19,35.72
307,Entry long,2025-10-16 19:00,L_3,36.832,5.129,188.911328,-8.5,-4.50,7.43,3.93,-8.46,-4.48,357.19,35.72
308,Exit long,2025-10-17 19:00,Long Trail,35.451,4.186,145.250014,3,2.07,3.3,2.27,-4.7,-3.23,360.03,36.00
308,Entry long,2025-10-17 17:30,buy,34.699,4.186,145.250014,3,2.07,3.3,2.27,-4.7,-3.23,360.03,36.00
309,Exit long,2025-10-17 19:00,Long Trail,35.451,4.854,163.065276,8.85,5.42,9.19,5.63,0,0.00,368.96,36.90
309,Entry long,2025-10-17 17:30,L_2,33.594,4.854,163.065276,8.85,5.42,9.19,5.63,0,0.00,368.96,36.90
310,Exit long,2025-10-17 19:00,Long Trail,35.451,4.854,165.671874,6.24,3.76,6.58,3.97,-0.64,-0.38,375.28,37.53
310,Entry long,2025-10-17 17:30,L_2,34.131,4.854,165.671874,6.24,3.76,6.58,3.97,-0.64,-0.38,375.28,37.53
311,Exit long,2025-10-18 00:45,Long Trail,35.91,4.174,145.263548,4.48,3.08,4.78,3.29,-1.12,-0.77,379.75,37.98
311,Entry long,2025-10-17 22:30,buy,34.802,4.174,145.263548,4.48,3.08,4.78,3.29,-1.12,-0.77,379.75,37.98
312,Exit long,2025-10-18 11:15,Long Trail,36.267,4.138,145.2438,4.68,3.22,4.98,3.43,-2.13,-1.47,384.44,38.44
312,Entry long,2025-10-18 02:15,buy,35.1,4.138,145.2438,4.68,3.22,4.98,3.43,-2.13,-1.47,384.44,38.44
313,Exit long,2025-10-18 21:30,Long Trail,36.474,4.062,145.269306,2.74,1.89,3.04,2.09,-3.44,-2.37,387.09,38.71
313,Entry long,2025-10-18 15:45,buy,35.763,4.062,145.269306,2.74,1.89,3.04,2.09,-3.44,-2.37,387.09,38.71
314,Exit long,2025-10-18 21:30,Long Trail,36.474,4.709,165.681456,5.91,3.56,6.25,3.77,-1.26,-0.76,393.08,39.31
314,Entry long,2025-10-18 16:15,L_2,35.184,4.709,165.681456,5.91,3.56,6.25,3.77,-1.26,-0.76,393.08,39.31
315,Exit long,2025-10-19 13:15,Long Trail,37.156,3.986,145.241868,2.72,1.87,3.01,2.07,-2.96,-2.04,395.71,39.57
315,Entry long,2025-10-19 04:00,buy,36.438,3.986,145.241868,2.72,1.87,3.01,2.07,-2.96,-2.04,395.71,39.57
316,Exit long,2025-10-19 13:15,Long Trail,37.156,4.622,165.684834,5.88,3.55,6.23,3.76,-0.7,-0.42,401.68,40.17
316,Entry long,2025-10-19 12:00,L_2,35.847,4.622,165.684834,5.88,3.55,6.23,3.76,-0.7,-0.42,401.68,40.17
317,Exit long,2025-10-20 08:30,Long Trail,38.698,3.842,145.254494,3.28,2.25,3.57,2.46,-4.43,-3.05,404.87,40.49
317,Entry long,2025-10-19 23:00,buy,37.807,3.842,145.254494,3.28,2.25,3.57,2.46,-4.43,-3.05,404.87,40.49
318,Exit long,2025-10-20 08:30,Long Trail,38.698,4.455,165.69927,6.53,3.94,6.88,4.15,-2.4,-1.45,411.49,41.15
318,Entry long,2025-10-20 03:00,L_2,37.194,4.455,165.69927,6.53,3.94,6.88,4.15,-2.4,-1.45,411.49,41.15
319,Exit long,2025-10-20 16:45,Long Trail,39.279,3.805,145.248265,4.06,2.79,4.36,3.00,-1.06,-0.73,415.55,41.55
319,Entry long,2025-10-20 14:00,buy,38.173,3.805,145.248265,4.06,2.79,4.36,3.00,-1.06,-0.73,415.55,41.55
320,Exit long,2025-10-21 08:00,Long Cond SL,36.035,3.758,145.250458,-9.97,-6.86,0.55,0.38,-10.77,-7.41,405.4,40.54
320,Entry long,2025-10-20 19:15,buy,38.651,3.758,145.250458,-9.97,-6.86,0.55,0.38,-10.77,-7.41,405.4,40.54
321,Exit long,2025-10-21 08:00,Long Cond SL,36.035,4.358,165.71295,-8.83,-5.33,3.37,2.03,-9.76,-5.89,396.65,39.66
321,Entry long,2025-10-20 19:30,L_2,38.025,4.358,165.71295,-8.83,-5.33,3.37,2.03,-9.76,-5.89,396.65,39.66
322,Exit long,2025-10-21 08:00,Long Cond SL,36.035,5.101,188.879828,-5.25,-2.78,0.34,0.18,-6.34,-3.35,391.49,39.15
322,Entry long,2025-10-21 06:45,L_3,37.028,5.101,188.879828,-5.25,-2.78,0.34,0.18,-6.34,-3.35,391.49,39.15
323,Exit long,2025-10-21 17:15,Long Trail,37.012,4.041,145.27395,4.14,2.85,4.45,3.06,-0.1,-0.07,395.64,39.56
323,Entry long,2025-10-21 17:00,buy,35.95,4.041,145.27395,4.14,2.85,4.45,3.06,-0.1,-0.07,395.64,39.56
324,Exit long,2025-10-23 03:00,Long Cond TP,36.635,3.934,145.259016,-1.28,-0.88,0.71,0.49,-9.86,-6.78,394.18,39.42
324,Entry long,2025-10-21 22:15,buy,36.924,3.934,145.259016,-1.28,-0.88,0.71,0.49,-9.86,-6.78,394.18,39.42
325,Exit long,2025-10-23 03:00,Long Cond TP,36.635,4.561,165.682886,1.24,0.75,2.16,1.30,-8.7,-5.25,395.5,39.55
325,Entry long,2025-10-21 23:30,L_2,36.326,4.561,165.682886,1.24,0.75,2.16,1.30,-8.7,-5.25,395.5,39.55
326,Exit long,2025-10-23 03:00,Long Cond TP,36.635,5.34,188.89182,6.55,3.46,7.62,4.03,-5.1,-2.70,402.14,40.21
326,Entry long,2025-10-22 02:30,L_3,35.373,5.34,188.89182,6.55,3.46,7.62,4.03,-5.1,-2.70,402.14,40.21
327,Exit long,2025-10-23 09:15,Long Trail,38.606,3.881,145.254187,4.43,3.05,4.73,3.25,-1.71,-1.17,406.57,40.66
327,Entry long,2025-10-23 07:15,buy,37.427,3.881,145.254187,4.43,3.05,4.73,3.25,-1.71,-1.17,406.57,40.66
328,Exit long,2025-10-23 15:45,Long Trail,40.369,3.74,145.25412,5.58,3.84,5.88,4.04,-1.46,-1.00,412.15,41.21
328,Entry long,2025-10-23 14:45,buy,38.838,3.74,145.25412,5.58,3.84,5.88,4.04,-1.46,-1.00,412.15,41.21
329,Exit long,2025-10-24 03:15,Long Trail,40.365,3.702,145.244268,4.04,2.78,4.34,2.99,-1.42,-0.97,416.19,41.62
329,Entry long,2025-10-23 21:15,buy,39.234,3.702,145.244268,4.04,2.78,4.34,2.99,-1.42,-0.97,416.19,41.62
330,Exit long,2025-10-24 09:00,Long Trail,40.55,3.648,145.267008,2.51,1.73,2.81,1.93,-2.77,-1.91,418.62,41.86
330,Entry long,2025-10-24 04:30,buy,39.821,3.648,145.267008,2.51,1.73,2.81,1.93,-2.77,-1.91,418.62,41.86
331,Exit long,2025-10-24 09:00,Long Trail,40.55,4.23,165.71025,5.65,3.41,5.99,3.61,-0.48,-0.29,424.35,42.43
331,Entry long,2025-10-24 06:15,L_2,39.175,4.23,165.71025,5.65,3.41,5.99,3.61,-0.48,-0.29,424.35,42.43
332,Exit long,2025-10-24 21:25,Open,39.206,3.625,145.2465,-3.27,-2.25,1.51,1.04,-5.21,-3.59,420.93,42.09
332,Entry long,2025-10-24 12:45,buy,40.068,3.625,145.2465,-3.27,-2.25,1.51,1.04,-5.21,-3.59,420.93,42.09
333,Exit long,2025-10-24 21:25,Open,39.206,4.203,165.678057,-1.06,-0.64,1.41,0.85,-3.31,-2.00,423.13,42.31
333,Entry long,2025-10-24 16:30,L_2,39.419,4.203,165.678057,-1.06,-0.64,1.41,0.85,-3.31,-2.00,423.13,42.31
