Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
218,Entry long,2025-09-21 11:15,L_2,53.346,3.106,165.692676,-3.62,-2.19,0.01,0.00,-3.64,-2.20,372.06,37.21
219,Exit long,2025-09-22 03:15,Long Cond SL,50.49,2.763,145.267488,-5.91,-4.06,0.91,0.63,-6,-4.13,366.07,36.61
219,Entry long,2025-09-21 14:15,buy,52.576,2.763,145.267488,-5.91,-4.06,0.91,0.63,-6,-4.13,366.07,36.61
220,Exit long,2025-09-22 03:15,Long Cond SL,50.49,3.203,165.671972,-4.12,-2.48,2.25,1.36,-4.23,-2.55,362.04,36.20
220,Entry long,2025-09-21 18:45,L_2,51.724,3.203,165.671972,-4.12,-2.48,2.25,1.36,-4.23,-2.55,362.04,36.20
221,Exit long,2025-09-22 19:15,Long Cond SL,47.94,3.75,188.88,-9.29,-4.92,0,0.00,-16.7,-8.84,352.75,35.27
221,Entry long,2025-09-22 03:30,L_3,50.368,3.75,188.88,-9.29,-4.92,0,0.00,-16.7,-8.84,352.75,35.27
222,Exit long,2025-09-23 09:30,Long Trail,48.716,3.029,145.264782,2.15,1.48,2.44,1.68,-8.14,-5.60,354.72,35.47
222,Entry long,2025-09-22 19:45,buy,47.958,3.029,145.264782,2.15,1.48,2.44,1.68,-8.14,-5.60,354.72,35.47
223,Exit long,2025-09-23 09:30,Long Trail,48.716,1.082,51.049842,1.61,3.15,1.71,3.36,-2.07,-4.05,356.36,35.64
223,Entry long,2025-09-22 22:45,L_2,47.181,1.082,51.049842,1.61,3.15,1.71,3.36,-2.07,-4.05,356.36,35.64
224,Exit long,2025-09-23 09:30,Long Trail,48.716,2.43,114.64983,3.61,3.15,3.85,3.36,-4.65,-4.05,360.03,36.00
224,Entry long,2025-09-22 22:45,L_2,47.181,2.43,114.64983,3.61,3.15,3.85,3.36,-4.65,-4.05,360.03,36.00
225,Exit long,2025-09-23 09:30,Long Trail,48.716,0.599,27.519857,1.63,5.93,1.69,6.14,-0.4,-1.46,361.67,36.17
225,Entry long,2025-09-23 05:30,L_3,45.943,0.599,27.519857,1.63,5.93,1.69,6.14,-0.4,-1.46,361.67,36.17
226,Exit long,2025-09-23 09:30,Long Trail,48.716,3.512,161.351816,9.57,5.93,9.91,6.14,-2.36,-1.46,371.33,37.13
