№ Сделки,Тип,Дата и время,Сигнал,Цена USDT,Размер позиции (кол-во),Размер позиции (цена),Чистая прибыль / убыток USDT,Чистая прибыль / убыток %,Благоприятное отклонение USDT,Благоприятное отклонение %,Неблагоприятное отклонение USDT,Неблагоприятное отклонение %,Совокупные ПР/УБ USDT,Совокупные ПР/УБ %
89,Exit short,2025-12-18 20:00,TP Hit,85838.7,0.011475,999.9992025,13.61,1.36,14.3,1.43,-27.52,-2.75,389.38,0.04
89,Entry short,2025-12-18 14:30,RsiSE,87145.9,0.011475,999.9992025,13.61,1.36,14.3,1.43,-27.52,-2.75,389.38,0.04
90,Exit short,2025-12-24 17:30,TP Hit,86384.5,0.011402,999.9554,13.61,1.36,14.3,1.43,-33.64,-3.36,402.99,0.04
90,Entry short,2025-12-19 11:30,RsiSE,87700,0.011402,999.9554,13.61,1.36,14.3,1.43,-33.64,-3.36,402.99,0.04
91,Exit short,2026-01-14 01:00,SL Hit,95639.1,0.011407,999.9581526,-92.46,-9.24,11.2,1.12,-91.7,-9.16,310.53,0.03
91,Entry short,2025-12-25 01:00,RsiSE,87661.8,0.011407,999.9581526,-92.46,-9.24,11.2,1.12,-91.7,-9.16,310.53,0.03
92,Exit short,2026-01-19 02:30,TP Hit,93762,0.010505,999.9698995,13.61,1.36,14.3,1.43,-29.83,-2.98,324.14,0.03
92,Entry short,2026-01-14 08:00,RsiSE,95189.9,0.010505,999.9698995,13.61,1.36,14.3,1.43,-29.83,-2.98,324.14,0.03
93,Exit long,2026-01-29 20:30,SL Hit,84206.7,0.010794,999.9205398,-92.33,-9.23,7.29,0.73,-91.69,-9.16,231.81,0.02
93,Entry long,2026-01-19 07:00,RsiLE,92636.7,0.010794,999.9205398,-92.33,-9.23,7.29,0.73,-91.69,-9.16,231.81,0.02
94,Exit long,2026-01-30 17:30,TP Hit,83351.7,0.012177,999.9740223,13.59,1.36,14.3,1.43,-2.2,-0.22,245.4,0.02
94,Entry long,2026-01-30 06:00,RsiLE,82119.9,0.012177,999.9740223,13.59,1.36,14.3,1.43,-2.2,-0.22,245.4,0.02
95,Exit long,2026-02-01 02:00,TP Hit,79123.2,0.012828,999.9913464,13.59,1.36,14.3,1.43,-8.76,-0.88,258.99,0.03
95,Entry long,2026-02-01 00:00,RsiLE,77953.8,0.012828,999.9913464,13.59,1.36,14.3,1.43,-8.76,-0.88,258.99,0.03
96,Exit short,2026-02-03 17:30,TP Hit,77409.3,0.012724,999.9562568,13.61,1.36,14.3,1.43,-8.2,-0.82,272.6,0.03
96,Entry short,2026-02-02 20:00,RsiSE,78588.2,0.012724,999.9562568,13.61,1.36,14.3,1.43,-8.2,-0.82,272.6,0.03
97,Exit short,2026-02-07 09:30,TP Hit,68896.3,0.014296,999.940868,13.61,1.36,14.3,1.43,-26.07,-2.61,286.21,0.03
97,Entry short,2026-02-07 00:00,RsiSE,69945.5,0.014296,999.940868,13.61,1.36,14.3,1.43,-26.07,-2.61,286.21,0.03
98,Exit short,2026-02-09 13:00,TP Hit,69022.3,0.01427,999.948845,13.61,1.36,14.3,1.43,-31.82,-3.18,299.82,0.03
98,Entry short,2026-02-08 13:00,RsiSE,70073.5,0.01427,999.948845,13.61,1.36,14.3,1.43,-31.82,-3.18,299.82,0.03
99,Exit short,2026-02-10 06:00,TP Hit,69462.8,0.01418,999.983526,13.61,1.36,14.3,1.43,-5.24,-0.52,313.43,0.03
99,Entry short,2026-02-09 23:30,RsiSE,70520.7,0.01418,999.983526,13.61,1.36,14.3,1.43,-5.24,-0.52,313.43,0.03
100,Exit short,2026-02-12 18:00,TP Hit,67028.2,0.014695,999.980055,13.61,1.36,14.3,1.43,-5.8,-0.58,327.05,0.03
100,Entry short,2026-02-12 15:00,RsiSE,68049,0.014695,999.980055,13.61,1.36,14.3,1.43,-5.8,-0.58,327.05,0.03
101,Exit short,2026-02-18 22:30,TP Hit,66055.8,0.014911,999.9584998,13.61,1.36,14.3,1.43,-58.48,-5.84,340.66,0.03
101,Entry short,2026-02-13 15:30,RsiSE,67061.8,0.014911,999.9584998,13.61,1.36,14.3,1.43,-58.48,-5.84,340.66,0.03
102,Exit short,2026-02-20 16:30,TP Hit,66901.5,0.014723,999.9920492,13.61,1.36,14.3,1.43,-1.2,-0.12,354.27,0.04
102,Entry short,2026-02-20 14:00,RsiSE,67920.4,0.014723,999.9920492,13.61,1.36,14.3,1.43,-1.2,-0.12,354.27,0.04
103,Exit short,2026-02-23 03:30,TP Hit,67098.6,0.014679,999.9408195,13.61,1.36,14.3,1.43,-9.02,-0.90,367.88,0.04
103,Entry short,2026-02-21 13:00,RsiSE,68120.5,0.014679,999.9408195,13.61,1.36,14.3,1.43,-9.02,-0.90,367.88,0.04
104,Exit long,2026-02-23 09:30,TP Hit,65692.3,0.01545,999.94563,13.59,1.36,14.3,1.43,-2.01,-0.20,381.47,0.04
104,Entry long,2026-02-23 05:30,RsiLE,64721.4,0.01545,999.94563,13.59,1.36,14.3,1.43,-2.01,-0.20,381.47,0.04
