№ Сделки,Тип,Дата и время,Сигнал,Цена USDT,Размер позиции (кол-во),Размер позиции (цена),Чистая прибыль / убыток USDT,Чистая прибыль / убыток %,Благоприятное отклонение USDT,Благоприятное отклонение %,Неблагоприятное отклонение USDT,Неблагоприятное отклонение %,Совокупные ПР/УБ USDT,Совокупные ПР/УБ %
21,Entry short,2025-02-14 04:00,RsiSE,96723.2,0.010338,999.9244416,13.61,1.36,14.3,1.43,-22.39,-2.24,179.68,0.02
22,Exit short,2025-02-24 17:30,TP Hit,94714.8,0.010399,999.9387228,13.61,1.36,14.3,1.43,-34.99,-3.50,193.29,0.02
22,Entry short,2025-02-19 16:00,RsiSE,96157.2,0.010399,999.9387228,13.61,1.36,14.3,1.43,-34.99,-3.50,193.29,0.02
23,Exit long,2025-02-25 15:00,TP Hit,89498.9,0.01134,999.918108,13.59,1.36,14.3,1.43,-7.04,-0.70,206.88,0.02
23,Entry long,2025-02-25 14:00,RsiLE,88176.2,0.01134,999.918108,13.59,1.36,14.3,1.43,-7.04,-0.70,206.88,0.02
24,Exit short,2025-02-27 17:30,TP Hit,85300.6,0.011547,999.9655812,13.61,1.36,14.3,1.43,-2.59,-0.26,220.49,0.02
24,Entry short,2025-02-27 14:30,RsiSE,86599.6,0.011547,999.9655812,13.61,1.36,14.3,1.43,-2.59,-0.26,220.49,0.02
25,Exit short,2025-03-02 19:30,SL Hit,91170.8,0.011966,999.9531492,-92.46,-9.24,4.06,0.41,-91.7,-9.16,128.03,0.01
25,Entry short,2025-02-28 21:00,RsiSE,83566.2,0.011966,999.9531492,-92.46,-9.24,4.06,0.41,-91.7,-9.16,128.03,0.01
26,Exit short,2025-03-03 09:30,TP Hit,91665.1,0.010745,999.9415195,13.61,1.36,14.3,1.43,-4.84,-0.48,141.64,0.01
26,Entry short,2025-03-03 04:30,RsiSE,93061.1,0.010745,999.9415195,13.61,1.36,14.3,1.43,-4.84,-0.48,141.64,0.01
27,Exit short,2025-03-03 18:00,TP Hit,89270.3,0.010733,999.9281387,40.42,4.04,42.33,4.23,-2.06,-0.21,182.06,0.02
27,Entry short,2025-03-03 17:30,RsiSE,93163.9,0.010733,999.9281387,40.42,4.04,42.33,4.23,-2.06,-0.21,182.06,0.02
28,Exit short,2025-03-07 03:30,TP Hit,85539.1,0.011515,999.983327,13.61,1.36,14.3,1.43,-69.1,-6.90,195.67,0.02
28,Entry short,2025-03-05 00:00,RsiSE,86841.8,0.011515,999.983327,13.61,1.36,14.3,1.43,-69.1,-6.90,195.67,0.02
29,Exit short,2025-03-07 19:00,TP Hit,87845.5,0.011212,999.9231596,13.61,1.36,14.3,1.43,-1.7,-0.17,209.28,0.02
29,Entry short,2025-03-07 18:30,RsiSE,89183.3,0.011212,999.9231596,13.61,1.36,14.3,1.43,-1.7,-0.17,209.28,0.02
30,Exit long,2025-03-14 18:00,TP Hit,84811.7,0.011967,999.9421761,13.59,1.36,14.3,1.43,-84.63,-8.46,222.87,0.02
30,Entry long,2025-03-09 18:00,RsiLE,83558.3,0.011967,999.9421761,13.59,1.36,14.3,1.43,-84.63,-8.46,222.87,0.02
31,Exit short,2025-03-16 14:00,TP Hit,83067.4,0.011857,999.9292668,13.61,1.36,14.3,1.43,-7.67,-0.77,236.48,0.02
31,Entry short,2025-03-14 21:00,RsiSE,84332.4,0.011857,999.9292668,13.61,1.36,14.3,1.43,-7.67,-0.77,236.48,0.02
32,Exit long,2025-03-16 19:00,TP Hit,84060.7,0.012074,999.9493616,13.59,1.36,14.3,1.43,-5.15,-0.51,250.07,0.03
32,Entry long,2025-03-16 15:30,RsiLE,82818.4,0.012074,999.9493616,13.59,1.36,14.3,1.43,-5.15,-0.51,250.07,0.03
33,Exit short,2025-03-18 07:30,TP Hit,82821.9,0.011892,999.9174144,13.61,1.36,14.3,1.43,-2.36,-0.24,263.68,0.03
33,Entry short,2025-03-17 23:30,RsiSE,84083.2,0.011892,999.9174144,13.61,1.36,14.3,1.43,-2.36,-0.24,263.68,0.03
34,Exit short,2025-03-31 01:00,TP Hit,81570.3,0.012075,999.9609375,13.61,1.36,14.3,1.43,-72.27,-7.22,277.29,0.03
34,Entry short,2025-03-19 04:30,RsiSE,82812.5,0.012075,999.9609375,13.61,1.36,14.3,1.43,-72.27,-7.22,277.29,0.03
35,Exit short,2025-04-03 15:30,TP Hit,81997.9,0.012012,999.9593604,13.61,1.36,14.3,1.43,-64.52,-6.45,290.9,0.03
35,Entry short,2025-03-31 20:00,RsiSE,83246.7,0.012012,999.9593604,13.61,1.36,14.3,1.43,-64.52,-6.45,290.9,0.03
36,Exit short,2025-04-06 19:30,TP Hit,82139.1,0.011991,999.92949,13.61,1.36,14.3,1.43,-2.02,-0.20,304.51,0.03
36,Entry short,2025-04-06 05:00,RsiSE,83390,0.011991,999.92949,13.61,1.36,14.3,1.43,-2.02,-0.20,304.51,0.03
37,Exit long,2025-04-07 17:00,TP Hit,80666.2,0.012582,999.941868,13.59,1.36,14.3,1.43,-63.83,-6.38,318.1,0.03
37,Entry long,2025-04-06 22:30,RsiLE,79474,0.012582,999.941868,13.59,1.36,14.3,1.43,-63.83,-6.38,318.1,0.03
38,Exit short,2025-04-08 17:30,TP Hit,78623.7,0.012528,999.9987408,13.61,1.36,14.3,1.43,-13.38,-1.34,331.71,0.03
38,Entry short,2025-04-08 02:30,RsiSE,79821.1,0.012528,999.9987408,13.61,1.36,14.3,1.43,-13.38,-1.34,331.71,0.03
39,Exit short,2025-04-10 16:30,TP Hit,80986.8,0.012162,999.9620724,13.61,1.36,14.3,1.43,-4.48,-0.45,345.32,0.03
39,Entry short,2025-04-10 05:00,RsiSE,82220.2,0.012162,999.9620724,13.61,1.36,14.3,1.43,-4.48,-0.45,345.32,0.03
40,Exit short,2025-04-22 16:00,SL Hit,89564.4,0.012181,999.9845778,-92.46,-9.24,8.78,0.88,-91.7,-9.16,252.86,0.03
40,Entry short,2025-04-11 16:00,RsiSE,82093.8,0.012181,999.9845778,-92.46,-9.24,8.78,0.88,-91.7,-9.16,252.86,0.03
41,Exit short,2025-05-08 18:30,SL Hit,101039.7,0.010797,999.931764,-92.46,-9.24,9.89,0.99,-91.69,-9.16,160.4,0.02
41,Entry short,2025-04-23 05:00,RsiSE,92612,0.010797,999.931764,-92.46,-9.24,9.89,0.99,-91.69,-9.16,160.4,0.02
42,Exit short,2025-05-12 21:30,TP Hit,101145.3,0.009738,999.9523728,13.61,1.36,14.3,1.43,-31.44,-3.14,174.01,0.02
42,Entry short,2025-05-09 05:30,RsiSE,102685.6,0.009738,999.9523728,13.61,1.36,14.3,1.43,-31.44,-3.14,174.01,0.02
43,Exit short,2025-05-15 10:00,TP Hit,101943.8,0.009662,999.9812506,13.61,1.36,14.3,1.43,-14.74,-1.47,187.62,0.02
43,Entry short,2025-05-13 15:30,RsiSE,103496.3,0.009662,999.9812506,13.61,1.36,14.3,1.43,-14.74,-1.47,187.62,0.02
44,Exit short,2025-06-05 22:00,TP Hit,101898.8,0.009666,999.9534996,13.61,1.36,14.3,1.43,-83.03,-8.30,201.23,0.02
44,Entry short,2025-05-15 21:30,RsiSE,103450.6,0.009666,999.9534996,13.61,1.36,14.3,1.43,-83.03,-8.30,201.23,0.02
45,Exit long,2025-06-06 06:30,TP Hit,102461.2,0.009906,999.9799914,13.59,1.36,14.3,1.43,-1.16,-0.12,214.82,0.02
45,Entry long,2025-06-06 00:30,RsiLE,100946.9,0.009906,999.9799914,13.59,1.36,14.3,1.43,-1.16,-0.12,214.82,0.02
46,Exit short,2025-06-21 23:00,TP Hit,102149.2,0.009642,999.9216816,13.61,1.36,14.3,1.43,-67.77,-6.77,228.43,0.02
46,Entry short,2025-06-06 16:00,RsiSE,103704.8,0.009642,999.9216816,13.61,1.36,14.3,1.43,-67.77,-6.77,228.43,0.02
47,Exit short,2025-06-23 19:00,TP Hit,100299.3,0.00982,999.939176,13.61,1.36,14.3,1.43,-8.19,-0.82,242.04,0.02
47,Entry short,2025-06-23 12:00,RsiSE,101826.8,0.00982,999.939176,13.61,1.36,14.3,1.43,-8.19,-0.82,242.04,0.02
48,Exit short,2025-07-11 00:00,SL Hit,114260.5,0.009548,999.96204,-92.46,-9.24,0.86,0.09,-91.7,-9.16,149.58,0.01
48,Entry short,2025-06-24 06:00,RsiSE,104730,0.009548,999.96204,-92.46,-9.24,0.86,0.09,-91.7,-9.16,149.58,0.01
49,Exit short,2025-07-15 17:30,TP Hit,115916.5,0.008497,999.9422546,13.61,1.36,14.3,1.43,-48.01,-4.80,163.19,0.02
49,Entry short,2025-07-11 14:30,RsiSE,117681.8,0.008497,999.9422546,13.61,1.36,14.3,1.43,-48.01,-4.80,163.19,0.02
50,Exit short,2025-07-18 23:00,TP Hit,116968.7,0.008421,999.99375,13.61,1.36,14.3,1.43,-20.02,-2.00,176.8,0.02
50,Entry short,2025-07-16 14:00,RsiSE,118750,0.008421,999.99375,13.61,1.36,14.3,1.43,-20.02,-2.00,176.8,0.02
51,Exit short,2025-07-21 01:00,TP Hit,116705.4,0.00844,999.993988,13.61,1.36,14.3,1.43,-4.48,-0.45,190.41,0.02
51,Entry short,2025-07-20 18:00,RsiSE,118482.7,0.00844,999.993988,13.61,1.36,14.3,1.43,-4.48,-0.45,190.41,0.02
52,Exit short,2025-07-21 21:30,TP Hit,117273.7,0.008399,999.9815804,13.61,1.36,14.3,1.43,-2.72,-0.27,204.02,0.02
52,Entry short,2025-07-21 12:00,RsiSE,119059.6,0.008399,999.9815804,13.61,1.36,14.3,1.43,-2.72,-0.27,204.02,0.02
53,Exit short,2025-07-25 06:00,TP Hit,116256.9,0.008472,999.9281328,13.61,1.36,14.3,1.43,-20.13,-2.01,217.63,0.02
53,Entry short,2025-07-22 11:00,RsiSE,118027.4,0.008472,999.9281328,13.61,1.36,14.3,1.43,-20.13,-2.01,217.63,0.02
54,Exit long,2025-07-26 13:00,TP Hit,117796.4,0.008616,999.934188,13.59,1.36,14.3,1.43,-12.29,-1.23,231.22,0.02
54,Entry long,2025-07-25 08:00,RsiLE,116055.5,0.008616,999.934188,13.59,1.36,14.3,1.43,-12.29,-1.23,231.22,0.02
55,Exit short,2025-07-30 22:00,TP Hit,115989.2,0.008492,999.9805552,13.61,1.36,14.3,1.43,-18.44,-1.84,244.83,0.02
55,Entry short,2025-07-26 15:00,RsiSE,117755.6,0.008492,999.9805552,13.61,1.36,14.3,1.43,-18.44,-1.84,244.83,0.02
56,Exit short,2025-07-31 23:00,TP Hit,116506.9,0.008454,999.9492648,13.61,1.36,14.3,1.43,-5.93,-0.59,258.44,0.03
56,Entry short,2025-07-31 04:30,RsiSE,118281.2,0.008454,999.9492648,13.61,1.36,14.3,1.43,-5.93,-0.59,258.44,0.03
57,Exit short,2025-08-14 03:00,SL Hit,124169.6,0.008786,999.9575036,-92.46,-9.24,10.15,1.01,-91.7,-9.16,165.98,0.02
57,Entry short,2025-08-03 15:00,RsiSE,113812.6,0.008786,999.9575036,-92.46,-9.24,10.15,1.01,-91.7,-9.16,165.98,0.02
58,Exit short,2025-08-14 09:00,TP Hit,121532.8,0.008104,999.9006944,13.61,1.36,14.3,1.43,-5.13,-0.51,179.59,0.02
58,Entry short,2025-08-14 05:00,RsiSE,123383.6,0.008104,999.9006944,13.61,1.36,14.3,1.43,-5.13,-0.51,179.59,0.02
59,Exit short,2025-08-18 05:00,TP Hit,116113.9,0.008483,999.9947026,13.61,1.36,14.3,1.43,-6.67,-0.67,193.2,0.02
59,Entry short,2025-08-17 10:00,RsiSE,117882.2,0.008483,999.9947026,13.61,1.36,14.3,1.43,-6.67,-0.67,193.2,0.02
60,Exit long,2025-08-22 18:30,TP Hit,117129.9,0.008665,999.9314685,13.59,1.36,14.3,1.43,-33.45,-3.34,206.79,0.02
60,Entry long,2025-08-18 07:30,RsiLE,115398.9,0.008665,999.9314685,13.59,1.36,14.3,1.43,-33.45,-3.34,206.79,0.02
61,Exit short,2025-08-23 16:30,TP Hit,114801.7,0.00858,999.999,13.61,1.36,14.3,1.43,-1.39,-0.14,220.4,0.02
61,Entry short,2025-08-23 04:30,RsiSE,116550,0.00858,999.999,13.61,1.36,14.3,1.43,-1.39,-0.14,220.4,0.02
62,Exit short,2025-08-29 11:30,TP Hit,109659.7,0.008982,999.9633654,13.61,1.36,14.3,1.43,-19.59,-1.96,234.01,0.02
62,Entry short,2025-08-27 04:00,RsiSE,111329.7,0.008982,999.9633654,13.61,1.36,14.3,1.43,-19.59,-1.96,234.01,0.02
63,Exit short,2025-09-01 05:00,TP Hit,107538.1,0.009159,999.9411522,13.61,1.36,14.3,1.43,-2.09,-0.21,247.62,0.02
63,Entry short,2025-08-31 06:00,RsiSE,109175.8,0.009159,999.9411522,13.61,1.36,14.3,1.43,-2.09,-0.21,247.62,0.02
64,Exit short,2025-10-02 03:00,SL Hit,118733.8,0.009188,999.9318776,-92.46,-9.24,12.37,1.24,-91.69,-9.16,155.17,0.02
64,Entry short,2025-09-01 13:30,RsiSE,108830.2,0.009188,999.9318776,-92.46,-9.24,12.37,1.24,-91.69,-9.16,155.17,0.02
65,Exit short,2025-10-10 22:00,TP Hit,116753,0.008436,999.927516,13.61,1.36,14.3,1.43,-64.97,-6.49,168.78,0.02
65,Entry short,2025-10-02 07:30,RsiSE,118531,0.008436,999.927516,13.61,1.36,14.3,1.43,-64.97,-6.49,168.78,0.02
66,Exit long,2025-10-11 00:00,SL Hit,105995.3,0.008575,999.9007375,-92.33,-9.23,5.56,0.56,-91.69,-9.16,76.45,0.01
66,Entry long,2025-10-10 23:00,RsiLE,116606.5,0.008575,999.9007375,-92.33,-9.23,5.56,0.56,-91.69,-9.16,76.45,0.01
67,Exit long,2025-10-12 23:00,TP Hit,114880,0.008835,999.964737,13.59,1.36,14.3,1.43,-33.64,-3.36,90.04,0.01
67,Entry long,2025-10-11 01:00,RsiLE,113182.2,0.008835,999.964737,13.59,1.36,14.3,1.43,-33.64,-3.36,90.04,0.01
68,Exit short,2025-10-14 06:00,TP Hit,113388,0.008686,999.8871528,13.61,1.36,14.3,1.43,-7.13,-0.71,103.65,0.01
68,Entry short,2025-10-13 06:30,RsiSE,115114.8,0.008686,999.8871528,13.61,1.36,14.3,1.43,-7.13,-0.71,103.65,0.01
69,Exit long,2025-10-14 17:00,TP Hit,112214.7,0.009045,999.9817335,13.59,1.36,14.3,1.43,-7.54,-0.75,117.24,0.01
69,Entry long,2025-10-14 14:00,RsiLE,110556.3,0.009045,999.9817335,13.59,1.36,14.3,1.43,-7.54,-0.75,117.24,0.01
70,Exit short,2025-11-03 18:00,TP Hit,105852.7,0.009305,999.9590335,13.61,1.36,14.3,1.43,-83.59,-8.35,130.85,0.01
70,Entry short,2025-10-19 15:30,RsiSE,107464.7,0.009305,999.9590335,13.61,1.36,14.3,1.43,-83.59,-8.35,130.85,0.01
71,Exit short,2025-11-06 18:00,TP Hit,101907.5,0.009665,999.935101,13.61,1.36,14.3,1.43,-10.76,-1.08,144.46,0.01
71,Entry short,2025-11-05 19:30,RsiSE,103459.4,0.009665,999.935101,13.61,1.36,14.3,1.43,-10.76,-1.08,144.46,0.01
72,Exit short,2025-11-08 14:30,TP Hit,101822.4,0.009673,999.927029,13.61,1.36,14.3,1.43,-2.77,-0.28,158.07,0.02
72,Entry short,2025-11-08 02:30,RsiSE,103373,0.009673,999.927029,13.61,1.36,14.3,1.43,-2.77,-0.28,158.07,0.02
73,Exit short,2025-11-12 19:00,TP Hit,101455,0.009708,999.924,13.61,1.36,14.3,1.43,-44.2,-4.42,171.68,0.02
73,Entry short,2025-11-09 18:00,RsiSE,103000,0.009708,999.924,13.61,1.36,14.3,1.43,-44.2,-4.42,171.68,0.02
74,Exit short,2025-11-13 18:30,TP Hit,101307.3,0.009722,999.9086722,13.61,1.36,14.3,1.43,-6.45,-0.65,185.29,0.02
74,Entry short,2025-11-13 12:30,RsiSE,102850.1,0.009722,999.9086722,13.61,1.36,14.3,1.43,-6.45,-0.65,185.29,0.02
75,Exit short,2025-11-16 18:30,TP Hit,94986.2,0.010369,999.9106663,13.61,1.36,14.3,1.43,-1.23,-0.12,198.9,0.02
75,Entry short,2025-11-16 13:30,RsiSE,96432.7,0.010369,999.9106663,13.61,1.36,14.3,1.43,-1.23,-0.12,198.9,0.02
76,Exit short,2025-11-19 07:30,TP Hit,91531.6,0.010761,999.9713055,13.61,1.36,14.3,1.43,-9.48,-0.95,212.51,0.02
76,Entry short,2025-11-18 20:30,RsiSE,92925.5,0.010761,999.9713055,13.61,1.36,14.3,1.43,-9.48,-0.95,212.51,0.02
77,Exit short,2025-11-20 17:00,TP Hit,91050.2,0.010818,999.9813024,13.61,1.36,14.3,1.43,-1.38,-0.14,226.12,0.02
77,Entry short,2025-11-20 09:30,RsiSE,92436.8,0.010818,999.9813024,13.61,1.36,14.3,1.43,-1.38,-0.14,226.12,0.02
78,Exit long,2025-11-21 01:30,TP Hit,88191.3,0.011509,999.9928411,13.59,1.36,14.3,1.43,-7.7,-0.77,239.71,0.02
78,Entry long,2025-11-20 22:30,RsiLE,86887.9,0.011509,999.9928411,13.59,1.36,14.3,1.43,-7.7,-0.77,239.71,0.02
79,Exit long,2025-11-21 16:00,TP Hit,83911.3,0.012096,999.9908352,13.59,1.36,14.3,1.43,-25.66,-2.56,253.3,0.03
79,Entry long,2025-11-21 14:00,RsiLE,82671.2,0.012096,999.9908352,13.59,1.36,14.3,1.43,-25.66,-2.56,253.3,0.03
